naics,naics_label,pp_min,x2010,x2015,share_2010,share_2015,lq_2010,lq_2015
naics_11,Logging,0.25,0.13913253939101305,0.16917967203762188,0.85107234179091,0.8824085998727791,0.16347909873118038,0.19172486766562938
naics_21,Extraction,0.25,0.3625072338686536,0.4045338898483038,0.4981522056332448,0.5596402413896853,0.7277037615598609,0.7228463214935633
naics_22,Utilities,0.25,0.6920894881806291,0.5863902845727014,0.6496176064115045,0.5894178848234707,1.0653798193736463,0.9948634062034339
naics_23,Construction,0.25,2.3456265398983165,2.6740887274945284,4.260229264720237,4.725989014276009,0.5505869271691298,0.565826268198421
naics_31to33,Manufacturing,0.25,5.660188192464588,5.127145340111579,9.281934046057462,9.058075429578063,0.6098069825080017,0.5660303206760123
naics_42,Wholesale,0.25,3.453676846283623,3.503708900515582,4.388235175400271,4.314120049191267,0.7870309380054129,0.8121491429457077
naics_44to45,Retail,0.25,7.022612803107697,7.108129121336418,11.29623359405807,11.194276211225192,0.6216773710134377,0.63497889342847
naics_48to49,Logistics,0.25,2.501110267661668,2.3759290758439513,3.3984963989430828,3.5929463307978824,0.7359461285406989,0.6612759716108342
naics_51,Information,0.25,3.496685444129325,3.6238189567311196,2.326024611551419,2.18973203412162,1.5032882398424388,1.6549143458024824
naics_52,Finance & insurance,0.25,6.5547999844351486,6.598490826978108,4.36780622828419,4.193739886007399,1.5007075959525975,1.5734144239594516
naics_53,Real estate,0.25,1.5226610529899345,1.5629194081678028,1.5679745022300653,1.5527183205748654,0.971100646614034,1.006569824969387
naics_54,Prof/sci/tech services,0.25,8.526690857714076,9.413550006226238,6.009556983852178,6.325161650011167,1.4188551469976067,1.4882702651891304
naics_55,Management,0.25,2.460055949048587,2.8816065698060944,1.5571937314981492,1.7134349414933716,1.5798008297155226,1.6817718023741153
naics_56,Admin & waste management,0.25,6.649750202062643,7.745331665834565,5.734373118859504,6.323204024990227,1.159629843442276,1.2249061765560436
naics_61,Education,0.25,12.030149787408533,10.402561324794252,10.194419975766381,9.338779795123559,1.1800720213612887,1.1139101202735469
naics_62,Health care,0.25,15.768284117971627,16.002106410928285,14.296198966245226,14.586518693546738,1.1029703878074264,1.0970476744398114
naics_71,Arts,0.25,1.4212553538144495,1.570654586567683,1.7187964204233768,1.741352506075004,0.826889873010303,0.9019739432930368
naics_72,Hospitality,0.25,7.511327158543331,8.100974256931828,8.731505380221266,9.294454369250015,0.8602556869011498,0.8715922350141688
naics_81,Other services,0.25,2.6442930218528313,2.4553234008383225,3.51857414918887,3.1638511590815535,0.7515240292612322,0.776055281169133
naics_92,Public administration,0.25,9.237103159173326,7.693557574435017,5.353605298864593,4.660178858570133,1.7253986133666517,1.650914655407798
naics_11,Logging,0.5,0.1533862954637918,0.19985042122439978,0.85107234179091,0.8824085998727791,0.18022709460986747,0.22648285754832073
naics_21,Extraction,0.5,0.3442610632481138,0.3785882516406861,0.4981522056332448,0.5596402413896853,0.6910760593953277,0.6764850409980969
naics_22,Utilities,0.5,0.7533667730094131,0.6450511310875643,0.6496176064115045,0.5894178848234707,1.1597080583622423,1.0943867631039998
naics_23,Construction,0.5,2.2602583677613293,2.6428377826985043,4.260229264720237,4.725989014276009,0.5305485285683932,0.559213695739699
naics_31to33,Manufacturing,0.5,5.491922043355722,5.125095280636333,9.281934046057462,9.058075429578063,0.5916786325031514,0.5658039967188777
naics_42,Wholesale,0.5,3.2714850846490116,3.4021082583727096,4.388235175400271,4.314120049191267,0.7455127070190819,0.7885984209017259
naics_44to45,Retail,0.5,6.89205171890538,6.950641287199404,11.29623359405807,11.194276211225192,0.6101194403885793,0.6209102898702433
naics_48to49,Logistics,0.5,2.482306530226631,2.405126253162567,3.3984963989430828,3.5929463307978824,0.7304131706594179,0.6694022208309643
naics_51,Information,0.5,3.3909596193389393,3.383432112077752,2.326024611551419,2.18973203412162,1.4578347978344162,1.545135230866259
naics_52,Finance & insurance,0.5,6.59269367506493,6.704674548744056,4.36780622828419,4.193739886007399,1.5093832762940003,1.5987340013896674
naics_53,Real estate,0.5,1.4398823677638033,1.4426882691556888,1.5679745022300653,1.5527183205748654,0.9183072592799935,0.9291371461512479
naics_54,Prof/sci/tech services,0.5,8.159413586975438,9.178366982034564,6.009556983852178,6.325161650011167,1.3577396152328658,1.4510881286359472
naics_55,Management,0.5,2.462653513851099,2.8964563268136425,1.5571937314981492,1.7134349414933716,1.5814689360981582,1.690438461754019
naics_56,Admin & waste management,0.5,6.4225232913153905,7.549641333840844,5.734373118859504,6.323204024990227,1.1200044291140843,1.193958205998661
naics_61,Education,0.5,12.630220560099284,10.721017970653728,10.194419975766381,9.338779795123559,1.2389346907546632,1.1480105758840073
naics_62,Health care,0.5,15.948120434646384,16.02532401939632,14.296198966245226,14.586518693546738,1.1155496976714938,1.0986393913501873
naics_71,Arts,0.5,1.284441438769842,1.528009490065536,1.7187964204233768,1.741352506075004,0.747291199532203,0.8774843029971333
naics_72,Hospitality,0.5,7.447053588518818,8.006528497105132,8.731505380221266,9.294454369250015,0.8528945770780824,0.861430717610935
naics_81,Other services,0.5,2.5650416061571937,2.3727707918901295,3.51857414918887,3.1638511590815535,0.7290002988137987,0.7499628372464052
naics_92,Public administration,0.5,10.007958440879483,8.441790992200442,5.353605298864593,4.660178858570133,1.8693866809721662,1.8114736039960937
naics_11,Logging,0.75,0.17167576345817148,0.2266588642961229,0.85107234179091,0.8824085998727791,0.20171700456968733,0.2568638432680748
naics_21,Extraction,0.75,0.37238831707052655,0.3831422899957546,0.4981522056332448,0.5596402413896853,0.7475392317035939,0.6846224800495848
naics_22,Utilities,0.75,0.798782258340863,0.7012304032372189,0.6496176064115045,0.5894178848234707,1.2296191643470777,1.189699907811986
naics_23,Construction,0.75,2.226197998044576,2.58443197595034,4.260229264720237,4.725989014276009,0.5225535668890269,0.5468552652457357
naics_31to33,Manufacturing,0.75,5.6102004300009956,5.216221281348128,9.281934046057462,9.058075429578063,0.6044214925642518,0.575864191229318
naics_42,Wholesale,0.75,3.171735279860351,3.230999889083948,4.388235175400271,4.314120049191267,0.7227815176453123,0.7489360175986844
naics_44to45,Retail,0.75,6.800007454579666,6.984100757671374,11.29623359405807,11.194276211225192,0.6019712143839286,0.6238992701169893
naics_48to49,Logistics,0.75,2.2623727486217544,2.213876745493557,3.3984963989430828,3.5929463307978824,0.6656981450165262,0.616173062902925
naics_51,Information,0.75,3.103942691115283,3.0509028184151243,2.326024611551419,2.18973203412162,1.3344410354476026,1.3932767895223084
naics_52,Finance & insurance,0.75,6.45482033761631,6.4996806382645085,4.36780622828419,4.193739886007399,1.4778174672258673,1.5498530702752893
naics_53,Real estate,0.75,1.3405779022612425,1.3650973957675965,1.5679745022300653,1.5527183205748654,0.8549742998719647,0.8791661550449114
naics_54,Prof/sci/tech services,0.75,7.904539698742802,8.854734394302739,6.009556983852178,6.325161650011167,1.3153281880814987,1.3999222287523838
naics_55,Management,0.75,2.3748006350820936,2.8842265900198503,1.5571937314981492,1.7134349414933716,1.5250514994029285,1.6833009063688502
naics_56,Admin & waste management,0.75,6.151939964181947,7.281237211187988,5.734373118859504,6.323204024990227,1.0728182203472474,1.1515107186817748
naics_61,Education,0.75,13.358230026285408,11.062132112491826,10.194419975766381,9.338779795123559,1.310347234863765,1.1845372045572968
naics_62,Health care,0.75,16.16734809941283,16.644747360006733,14.296198966245226,14.586518693546738,1.1308843796582277,1.14110485919924
naics_71,Arts,0.75,1.2551949102053797,1.4442952814781669,1.7187964204233768,1.741352506075004,0.7302754970226188,0.8294100570903924
naics_72,Hospitality,0.75,7.4400272052079455,8.051652457937957,8.731505380221266,9.294454369250015,0.8520898609375199,0.8662856514284719
naics_81,Other services,0.75,2.5625678702406165,2.3490719386213517,3.51857414918887,3.1638511590815535,0.7282972481427912,0.7424723289774708
naics_92,Public administration,0.75,10.472650409671234,8.971559594429719,5.353605298864593,4.660178858570133,1.9561864995711025,1.9251534901779352
